model,seed,f1,pr_auc,tp,fp,fn
Logistic Regression (Baseline),0,0.10703173615432483,0.7879656112267586,86.0,1426.0,9.0
XGBoost Only (No IF Features),0,0.84375,0.879931917974942,81.0,16.0,14.0
Hybrid IsolationForest + XGBoost,0,0.845360824742268,0.8791439747607173,82.0,17.0,13.0
Logistic Regression (Baseline),1,0.1204644412191582,0.6722277051467753,83.0,1200.0,12.0
XGBoost Only (No IF Features),1,0.8066298342541437,0.7947337140045618,73.0,13.0,22.0
Hybrid IsolationForest + XGBoost,1,0.7891891891891892,0.7923781007641665,73.0,17.0,22.0
Logistic Regression (Baseline),2,0.12684365781710916,0.6926072189573302,86.0,1175.0,9.0
XGBoost Only (No IF Features),2,0.783068783068783,0.8414034462943376,74.0,20.0,21.0
Hybrid IsolationForest + XGBoost,2,0.7789473684210526,0.837020468063769,74.0,21.0,21.0
Logistic Regression (Baseline),3,0.11365211365211365,0.66455555466992,82.0,1266.0,13.0
XGBoost Only (No IF Features),3,0.8241758241758241,0.7990323315456408,75.0,12.0,20.0
Hybrid IsolationForest + XGBoost,3,0.8064516129032258,0.7886703492749105,75.0,16.0,20.0
Logistic Regression (Baseline),42,0.10473186119873817,0.675845544050717,83.0,1407.0,12.0
XGBoost Only (No IF Features),42,0.8351648351648352,0.8200717760879341,76.0,11.0,19.0
Hybrid IsolationForest + XGBoost,42,0.8306010928961749,0.8088442170425417,76.0,12.0,19.0
